"id","name"
"5ehXToeJ8Tgc4wMhY42Oul","Wake Me Up (feat. Justice)"
"7xAvtuHf8nGi5OtXVPYgb3","CRANK"
"1YHQQFtKqFSFrqL4cNvstU","SMALL TOWN FAME"
"4PlLA6QRD4YQmlwQfaNeaz","Talkin the Hardest"
"0NUqi0ps17YpLUC3kgsZq0","DIE TRYING"
"4evMMKc2HD6fV9slMfgkMx","TOXIC (with Skepta)"
"12eAtj918bpsB4Vts8pCMu","listen!"
"410TZrK18uRjtsTunG14cl","Middle of the Ocean"
"3pjzb1lnMOJbWbghMGSp23","STREET SWEEPER (feat. Future)"
"68qeaZhtMZ6abrJCYt6nQn","RATHER LIE (with The Weeknd)"
"3HSWbb8RwYxKA4HDcm9emu","Black & Tan"
"45pUWUeEWGoSdH6UF162G8","Broke Boys"
"4MXhiYIRDMGAuvZc5IFTwC","ASTROTHUNDER"
"4u43I0LP2Xf85OAS85eG0R","CN TOWER"
"00iLTetTLAeImmBlh6jOJh","K POP"
"2u9S9JJ6hTZS3Vf22HOZKg","NOKIA"
"6WZtUG0qldMF7bzOtz7ZR3","50s"
"4GqhG9rDuRUoNyDSMJ0Brq","SPIDER-MAN SUPERMAN"
"2WNUYpLeOSMSlWgOmgGURl","GREEDY"
"4E2fOeF5A6onC10OtnjXJa","Trae The Truth in Ibiza"
"3FHO87BSOEVAsedSnCTnvz","BRIAN STEEL"
"4KDNRh9Oor80z3XIxdWlui","Bubbly (with Drake & Travis Scott)"
"3MtB4aOzFkXJvAREmsy1Dj","Green Room"
"3WcC6NH9J77xPEvj1SOL7z","March Madness"
"2xxb5zW09uwbgyLprALi9E","RAINING IN HOUSTON"
"39PcHsxzkvZV5Q2yxCzeyj","Excuse My French"
"5zyZM1EiSqrniyqtprwxpv","Falling Back"
"4ZLNj4Zlp6XZ3WAVpPQEnq","Diamonds From Sierra Leone - Remix"
"21aDVa64pWR8SYQ7wBRMkd","CHARGE DEM HOES A FEE (with Future & Travis Scott)"
"23Z3bbYcl1PdcPJemLa4zc","Flight's Booked"
"2KvHC9z14GSl4YpkNMX384","Do Not Disturb"
"3VdooJLOy4tLxKpnn46SMP","CRUSH (with Travis Scott)"
"40iJIUlhi6renaREYGeIDS","Fair Trade (with Travis Scott)"
"4KD0lLJ4OGonZhBeKtct9I","Avalanche"
"67nepsnrcZkowTxMWigSbb","MELTDOWN (feat. Drake)"
"6LyAwkJsHlW7RQ8S1cYAtM","Overdue (with Travis Scott)"
"4kjI1gwQZRKNDkw1nI475M","MY EYES"
"1F6nHHDJyTHLgDDFj1ZZDt","SOMETHING ABOUT YOU"
"2GAhgAjOhEmItWLfgisyOn","Low"
"2TKwo7J4oyyiYZvck7ky3R","Bane"
"2jTujnt0y344ai1rNOywgr","KMT"
"2ydagYqcyFfRtQPzKc5E8l","I SEEEEEE YOU BABY BOI"
"3WRUvGqySBZC6RkB5c2w1S","MOJO JOJO"
"4b7vk8SRcYgnxpk0JOIS7r","Drugs You Should Try It"
"1hvInhBgFlH88UaZrLJ43O","6 Foot 7 Foot"
"1ne7JVHEPnoncXzQunQVKW","W.T.P."
"2XHzzp1j4IfTNp1FTn7YFg","Love Me"
"2kZoOj1n5vk9BuF0sih58M","SOMEBODY LOVES ME"
"4cwyp1aL1q3LfGCteqe8tL","PIMMIE'S DILEMMA"
"56Tn1NezPK8I82vgZ38FzR","It Is What It Is"
"0yLdNVWF3Srea0uzk55zFn", "example song"
"1i1fxkWeaMmKEB4T7zqbzK", "another one"
